state,city,lat,lng
AK,Anaktuvuk Pass,68.11878,-151.679005
AK,Arctic Village,68.077395,-145.423115
AK,Barrow,71.234637,-156.817409
AK,Beaver,66.33883,-147.279803
AK,Bettles Field,67.100495,-151.062414
AK,Buckland,65.981052,-161.131676
AK,Cantwell,63.395458,-148.89735
AK,Central,65.468058,-144.74886
AK,Circle,65.824542,-144.08262
AK,Prudhoe Bay,70.070057,-148.559636
AK,Deering,66.062265,-162.711951
AK,Dot Lake,64.005426,-145.613611
AK,Elim,64.621662,-162.260371
AK,Fort Yukon,66.520744,-145.306439
AK,Galena,64.760784,-156.797701
AK,Gambell,63.776555,-171.701685
AK,Healy,63.917123,-149.011128
AK,Anderson,64.300693,-149.1718
AK,Hughes,66.038246,-154.26443
AK,Huslia,65.689918,-156.291976
AK,Kaktovik,70.042889,-143.631329
AK,Kaltag,64.330452,-158.724251
AK,Kiana,67.18026,-158.152204
AK,Kivalina,67.665859,-163.733617
AK,Kobuk,66.912253,-157.066864
AK,Kotzebue,66.846459,-162.126493
AK,Koyuk,64.931668,-161.149957
AK,Denali National,63.516075,-149.539532
AK,Manley Hot Sprin,65.02058,-150.573267
AK,Lake Minchumina,63.903884,-152.430081
AK,Minto,65.058399,-149.691186
AK,Point Lay,69.705626,-162.906148
AK,Nenana,64.557656,-149.086744
AK,Noatak,66.97553,-160.509453
AK,Golovin,64.505775,-165.310667
AK,Noorvik,66.836353,-161.044132
AK,Nulato,64.778024,-157.991353
AK,Point Hope,68.312058,-166.72618
AK,Rampart,65.383627,-150.011201
AK,Ruby,64.720062,-155.503872
AK,Savoonga,63.679737,-170.470908
AK,Selawik,65.713537,-158.534287
AK,Shaktoolik,64.375498,-161.174589
AK,Shishmaref,66.230562,-166.137276
AK,Shungnak,66.958141,-157.613496
AK,Stevens Village,65.995894,-149.118286
AK,Tanana,65.156483,-152.103747
AK,Teller,65.240164,-166.3833
AK,Border,63.435022,-142.523046
AK,Venetie,67.010446,-146.413723
AK,Wainwright,70.620064,-160.012532
AK,Wales,65.688212,-168.520521
AK,White Mountain,64.702791,-163.42185
AK,Brevig Mission,65.334187,-166.478578
AK,Ambler,67.46951,-156.455652
AK,Chalkyitsik,66.719,-143.638121
AK,Nuiqsut,70.192737,-150.997119
AK,Juneau,58.362767,-134.529429
AK,Angoon,57.569832,-134.371052
AK,Douglas,58.275597,-134.395041
AK,Gustavus,58.42835,-135.761542
AK,Haines,59.251886,-135.542032
AK,Hoonah,58.032237,-135.558435
AK,Petersburg,56.827134,-133.160683
AK,Sitka,57.051436,-135.316569
AK,Skagway,59.468471,-135.301794
AK,Ketchikan,55.372028,-131.683175
AK,Thorne Bay,55.66086,-132.513815
AK,Craig,55.47317,-133.117081
AK,Hydaburg,55.137406,-132.633175
AK,Hyder,55.925867,-130.124915
AK,Klawock,55.552611,-133.055503
AK,Metlakatla,55.121491,-131.579001
AK,Point Baker,56.307858,-133.376372
AK,Wrangell,56.433524,-132.352918
AZ,Phoenix,33.451095,-112.077428
AZ,New River Stage,33.667157,-112.102723
AZ,Mesa,33.43174,-111.846931
AZ,Gold Canyon,33.360787,-111.51331
AZ,Apache Junction,33.415211,-111.571818
AZ,Eleven Mile Corn,32.892667,-111.756093
AZ,Chandler,33.330091,-111.863156
AZ,Coolidge,32.957399,-111.534378
AZ,Eloy,32.750929,-111.583275
AZ,Florence,32.996881,-111.361234
